fir_id,crime_type,location_type,state,time_of_day,weapon_used,entry_method,target_type,suspect_age_group,prior_record,accomplice_count,evidence_recovered,digital_evidence,mo_tags,mo_text,severity_score,recidivism
FIR-00001,robbery,residential_area,DL,midnight,none,none,financial_institution,juvenile,1,1,0,0,planned_operation|escape_vehicle_used,Evidence of pre-planned operation. suspect escaped using a vehicle.,9,1
FIR-00002,murder,rural_area,DL,night,firearm,social_engineering,individual,juvenile,1,0,1,0,escape_vehicle_used|physical_restraint|repeat_target|local_knowledge,Suspect escaped using a vehicle. victim was physically restrained. location or victim was targeted previously. suspect demonstrated knowledge of the local area.,10,1
FIR-00003,robbery,educational_institution,PB,evening,blunt_object,social_engineering,individual,juvenile,1,0,1,0,local_knowledge|repeat_target,Suspect demonstrated knowledge of the local area. location or victim was targeted previously.,8,1
FIR-00004,fraud,industrial_area,RJ,afternoon,none,lock_picking,individual,36-45,1,0,1,1,psychological_manipulation|multiple_offenders|local_knowledge,Victim was manipulated psychologically. multiple offenders participated. suspect demonstrated knowledge of the local area.,6,0
FIR-00005,kidnapping,highway,WB,morning,vehicle,roof_access,individual,60+,1,1,1,0,insider_help|escape_vehicle_used|use_of_technology,Insider assistance may have been involved. suspect escaped using a vehicle. digital tools or devices were used.,10,0
FIR-00006,fraud,highway,DL,morning,firearm,social_engineering,individual,46-60,1,4,1,1,use_of_technology|evidence_concealment|multiple_offenders|prior_surveillance|psychological_manipulation,Digital tools or devices were used. suspect attempted to conceal evidence. multiple offenders participated. suspect conducted prior surveillance of the target. victim was manipulated psychologically.,8,0
FIR-00007,fraud,bank_premises,PB,afternoon,chemical,social_engineering,commercial_establishment,juvenile,0,0,1,1,repeat_target|opportunistic|local_knowledge,Location or victim was targeted previously. crime appears to be opportunistic in nature. suspect demonstrated knowledge of the local area.,8,1
FIR-00008,murder,commercial_zone,WB,midnight,knife,window_break,household,60+,0,1,1,0,repeat_target|psychological_manipulation|insider_help,Location or victim was targeted previously. victim was manipulated psychologically. insider assistance may have been involved.,9,0
FIR-00009,vehicle_theft,commercial_zone,TN,midnight,improvised_tool,unlocked_door,vehicle,18-25,1,0,0,0,insider_help|physical_restraint,Insider assistance may have been involved. victim was physically restrained.,3,1
FIR-00010,robbery,parking_lot,WB,afternoon,firearm,none,individual,46-60,1,3,1,0,multiple_offenders|night_operation|accomplice_involved|evidence_concealment|psychological_manipulation,Multiple offenders participated. crime was executed during nighttime hours. at least one accomplice was involved in the act. suspect attempted to conceal evidence. victim was manipulated psychologically.,8,1
FIR-00011,burglary,bank_premises,UP,night,none,window_break,household,36-45,1,0,0,0,lone_wolf|night_operation|multiple_offenders|accomplice_involved,Single offender acted alone. crime was executed during nighttime hours. multiple offenders participated. at least one accomplice was involved in the act.,7,1
FIR-00012,drug_offense,residential_area,RJ,early_morning,knife,none,public_space,18-25,1,4,1,0,use_of_technology|lone_wolf|local_knowledge|multiple_offenders|insider_help,Digital tools or devices were used. single offender acted alone. suspect demonstrated knowledge of the local area. multiple offenders participated. insider assistance may have been involved.,6,1
FIR-00013,assault,residential_area,WB,evening,knife,roof_access,individual,46-60,0,0,0,0,accomplice_involved|use_of_technology|evidence_concealment,At least one accomplice was involved in the act. digital tools or devices were used. suspect attempted to conceal evidence.,5,0
FIR-00014,kidnapping,educational_institution,TS,evening,knife,none,individual,18-25,0,1,1,0,use_of_technology|planned_operation|use_of_disguise,Digital tools or devices were used. evidence of pre-planned operation. suspect used a disguise to conceal identity.,9,0
FIR-00015,robbery,rural_area,BR,evening,knife,lock_picking,individual,juvenile,1,4,0,0,opportunistic|insider_help|multiple_offenders|use_of_technology,Crime appears to be opportunistic in nature. insider assistance may have been involved. multiple offenders participated. digital tools or devices were used.,9,0
FIR-00016,drug_offense,educational_institution,AP,early_morning,none,none,commercial_establishment,26-35,1,0,0,0,planned_operation|psychological_manipulation|lone_wolf|repeat_target,Evidence of pre-planned operation. victim was manipulated psychologically. single offender acted alone. location or victim was targeted previously.,5,1
FIR-00017,kidnapping,bank_premises,RJ,early_morning,knife,none,individual,60+,0,0,1,0,use_of_disguise|lone_wolf,Suspect used a disguise to conceal identity. single offender acted alone.,8,0
FIR-00018,vandalism,public_transport,DL,midnight,blunt_object,none,financial_institution,60+,1,0,1,0,repeat_target|lone_wolf|night_operation|use_of_disguise|local_knowledge,Location or victim was targeted previously. single offender acted alone. crime was executed during nighttime hours. suspect used a disguise to conceal identity. suspect demonstrated knowledge of the local area.,2,0
FIR-00019,kidnapping,marketplace,TN,midnight,chemical,window_break,individual,18-25,0,1,1,0,escape_vehicle_used|repeat_target|multiple_offenders|local_knowledge|night_operation,Suspect escaped using a vehicle. location or victim was targeted previously. multiple offenders participated. suspect demonstrated knowledge of the local area. crime was executed during nighttime hours.,10,1
FIR-00020,fraud,rural_area,DL,morning,none,window_break,financial_institution,juvenile,0,1,1,1,opportunistic|physical_restraint|repeat_target|prior_surveillance,Crime appears to be opportunistic in nature. victim was physically restrained. location or victim was targeted previously. suspect conducted prior surveillance of the target.,7,1
FIR-00021,kidnapping,rural_area,DL,evening,chemical,none,individual,36-45,0,4,1,0,psychological_manipulation|evidence_concealment|multiple_offenders|accomplice_involved,Victim was manipulated psychologically. suspect attempted to conceal evidence. multiple offenders participated. at least one accomplice was involved in the act.,9,0
FIR-00022,kidnapping,parking_lot,KA,evening,chemical,none,commercial_establishment,46-60,1,1,1,0,physical_restraint|repeat_target,Victim was physically restrained. location or victim was targeted previously.,10,1
FIR-00023,murder,commercial_zone,TS,night,firearm,none,individual,18-25,1,0,1,0,repeat_target|prior_surveillance|lone_wolf,Location or victim was targeted previously. suspect conducted prior surveillance of the target. single offender acted alone.,10,1
FIR-00024,kidnapping,commercial_zone,TN,night,firearm,social_engineering,individual,36-45,1,1,1,0,accomplice_involved|use_of_technology|night_operation|evidence_concealment|insider_help,At least one accomplice was involved in the act. digital tools or devices were used. crime was executed during nighttime hours. suspect attempted to conceal evidence. insider assistance may have been involved.,9,1
FIR-00025,vandalism,educational_institution,WB,night,improvised_tool,none,government_property,46-60,0,1,0,0,lone_wolf|accomplice_involved|escape_vehicle_used|repeat_target,Single offender acted alone. at least one accomplice was involved in the act. suspect escaped using a vehicle. location or victim was targeted previously.,3,1
FIR-00026,assault,highway,TN,night,knife,none,individual,juvenile,0,2,1,0,prior_surveillance|multiple_offenders|local_knowledge|physical_restraint|planned_operation,Suspect conducted prior surveillance of the target. multiple offenders participated. suspect demonstrated knowledge of the local area. victim was physically restrained. evidence of pre-planned operation.,6,0
FIR-00027,kidnapping,highway,TS,evening,knife,none,individual,26-35,0,4,0,0,opportunistic|multiple_offenders|insider_help|use_of_disguise|physical_restraint,Crime appears to be opportunistic in nature. multiple offenders participated. insider assistance may have been involved. suspect used a disguise to conceal identity. victim was physically restrained.,9,0
FIR-00028,robbery,rural_area,HR,night,firearm,social_engineering,financial_institution,26-35,0,4,0,0,multiple_offenders|repeat_target|evidence_concealment|accomplice_involved,Multiple offenders participated. location or victim was targeted previously. suspect attempted to conceal evidence. at least one accomplice was involved in the act.,9,1
FIR-00029,fraud,parking_lot,TN,morning,none,forced_entry,individual,18-25,1,0,0,1,planned_operation|insider_help,Evidence of pre-planned operation. insider assistance may have been involved.,7,0
FIR-00030,assault,commercial_zone,KL,early_morning,knife,none,individual,46-60,0,0,0,0,night_operation|escape_vehicle_used|local_knowledge,Crime was executed during nighttime hours. suspect escaped using a vehicle. suspect demonstrated knowledge of the local area.,7,1
FIR-00031,fraud,highway,TS,afternoon,none,impersonation,household,26-35,0,1,1,1,repeat_target|planned_operation|use_of_disguise|escape_vehicle_used|use_of_technology,Location or victim was targeted previously. evidence of pre-planned operation. suspect used a disguise to conceal identity. suspect escaped using a vehicle. digital tools or devices were used.,7,0
FIR-00032,kidnapping,public_transport,AP,night,firearm,none,individual,36-45,0,1,1,0,psychological_manipulation|prior_surveillance|insider_help|opportunistic|use_of_disguise,Victim was manipulated psychologically. suspect conducted prior surveillance of the target. insider assistance may have been involved. crime appears to be opportunistic in nature. suspect used a disguise to conceal identity.,9,0
FIR-00033,cybercrime,highway,MP,midnight,none,unlocked_door,individual,36-45,0,0,1,1,evidence_concealment|insider_help|local_knowledge|prior_surveillance|accomplice_involved,Suspect attempted to conceal evidence. insider assistance may have been involved. suspect demonstrated knowledge of the local area. suspect conducted prior surveillance of the target. at least one accomplice was involved in the act.,5,1
FIR-00034,vandalism,public_transport,KL,midnight,improvised_tool,none,public_space,juvenile,1,1,1,0,opportunistic|night_operation,Crime appears to be opportunistic in nature. crime was executed during nighttime hours.,3,1
FIR-00035,robbery,residential_area,MP,afternoon,blunt_object,none,financial_institution,juvenile,1,3,1,0,evidence_concealment|accomplice_involved|multiple_offenders,Suspect attempted to conceal evidence. at least one accomplice was involved in the act. multiple offenders participated.,8,1
FIR-00036,murder,parking_lot,TS,night,knife,forced_entry,individual,60+,1,0,1,0,physical_restraint|accomplice_involved|night_operation,Victim was physically restrained. at least one accomplice was involved in the act. crime was executed during nighttime hours.,10,1
FIR-00037,murder,public_transport,TN,afternoon,blunt_object,impersonation,individual,60+,1,0,0,0,opportunistic|night_operation,Crime appears to be opportunistic in nature. crime was executed during nighttime hours.,9,1
FIR-00038,kidnapping,commercial_zone,TN,evening,chemical,none,individual,60+,0,2,0,0,multiple_offenders|accomplice_involved|use_of_technology,Multiple offenders participated. at least one accomplice was involved in the act. digital tools or devices were used.,8,1
FIR-00039,robbery,educational_institution,MP,midnight,firearm,social_engineering,financial_institution,46-60,0,1,0,0,accomplice_involved|lone_wolf,At least one accomplice was involved in the act. single offender acted alone.,8,1
FIR-00040,robbery,parking_lot,HR,evening,knife,roof_access,government_property,juvenile,0,0,1,0,lone_wolf|evidence_concealment|repeat_target|use_of_disguise|physical_restraint,Single offender acted alone. suspect attempted to conceal evidence. location or victim was targeted previously. suspect used a disguise to conceal identity. victim was physically restrained.,8,1
FIR-00041,fraud,bank_premises,WB,afternoon,none,social_engineering,commercial_establishment,juvenile,1,1,1,1,psychological_manipulation|accomplice_involved|local_knowledge|planned_operation,Victim was manipulated psychologically. at least one accomplice was involved in the act. suspect demonstrated knowledge of the local area. evidence of pre-planned operation.,6,0
FIR-00042,burglary,educational_institution,BR,midnight,none,lock_picking,household,36-45,0,0,1,0,prior_surveillance|psychological_manipulation,Suspect conducted prior surveillance of the target. victim was manipulated psychologically.,5,0
FIR-00043,drug_offense,marketplace,KA,midnight,none,none,individual,60+,0,1,1,0,multiple_offenders|evidence_concealment|insider_help|lone_wolf,Multiple offenders participated. suspect attempted to conceal evidence. insider assistance may have been involved. single offender acted alone.,6,1
FIR-00044,vehicle_theft,rural_area,KA,night,chemical,social_engineering,digital_asset,46-60,0,1,1,0,physical_restraint|multiple_offenders|evidence_concealment|lone_wolf,Victim was physically restrained. multiple offenders participated. suspect attempted to conceal evidence. single offender acted alone.,4,0
